basin_id,lat,lon,elev_mean,slope_mean,area_km2,mean_prcp,mean_pet,aridity,frac_snow,q_mean,runoff_ratio,hfd_mean,baseflow_index,soil_depth_pelletier,frac_forest,lai_max
01013500,47.23739,-68.58264,250.31,21.64152,2252.7,3.12667898699521,1.97155451060917,0.63055865946247,0.313440357191799,1.69915450753356,0.543437466590222,207.25,0.585225955779508,7.40476190476191,0.9063,4.1673039455613
01580000,39.62997,-76.40331,174.3,12.44242,244.37,3.43172758384668,2.52725252566735,0.736437396011053,0.0816880923954386,1.30529953024018,0.380362222334981,171.95,0.715800753892043,1.04615384615385,0.4241,2.51160368259806
02016000,37.7918,-79.75949,645.04,66.42056,1194.55,3.14481451060917,2.57381968514716,0.818432908034564,0.102077363429123,1.15571291620652,0.367497959675417,170.3,0.49776856329352,1.01385809312639,0.9317,5.08865611310359
02064000,37.12681,-78.95974,192.21,9.95686,427.77,3.09549623545517,2.926439137577,0.945386107745239,0.0606011692596163,0.929231885238746,0.300188342856153,168.45,0.564004470607177,1.07064364207221,0.909,4.34495821267114
02221525,33.25236,-83.48128,176.01,7.55177,490.8,3.35912388774812,3.14240887063655,0.935484660776579,0.0095385192188569,0.762009321284306,0.226847638476097,161.0,0.529551421239063,1.14245416078984,0.8252,4.54554270289662
02297310,27.19949,-81.98842,25.71,1.18116,528.38,3.84166187542779,4.04290674880219,1.0523848479903,0.0,0.926553609939439,0.241185622260486,268.0,0.423763278958435,49.6382393397524,0.1446,1.79762160881357
02298123,27.052,-81.78453,21.75,0.82221,540.65,3.6844476386037,3.52557760438056,0.956880908671743,0.0,1.04280268210097,0.283028226856866,260.85,0.503475479512572,49.8744884038199,0.1369,1.75643977596403
02371500,31.5735,-86.25162,125.86,7.42604,1292.79,3.96998357289528,3.14758301163587,0.792845349065351,0.0040171402581935,1.15341936193324,0.290535046494426,164.7,0.523492856197538,5.05568181818182,0.6862,4.16548637373976
02415000,33.06679,-85.87913,270.56,12.25237,491.38,4.05513073237509,3.00059567419576,0.739950416453852,0.0124691410953683,1.47415721061508,0.363528899042834,162.85,0.559165384400756,1.10157367668097,0.9106,4.60681353727928
03504000,35.1275,-83.61861,1039.71,86.43459,134.52,5.6031485284052,2.69890116358658,0.481675820282915,0.0589912291417263,3.68226240268835,0.657177368049606,165.6,0.720317018430557,0.989949748743719,0.9516,4.54515581685706
04057510,45.94302,-86.7057,228.86,4.66219,473.57,2.35633264887064,2.03594442162902,0.864030985864762,0.253134692886369,0.87356813610867,0.370732093589316,191.25,0.6506586425033,38.6207701283547,0.9814,4.63669458785525
04124000,44.43639,-85.69868,336.67,9.92703,2243.63,2.47448186173854,2.60474535249829,1.05264273413111,0.226973864370005,1.15752039206718,0.467782936688783,183.55,0.8869085757005,26.6910246227164,0.7036,3.91092897406717
04196800,40.92283,-83.34881,276.66,2.52382,608.07,2.67460506502396,2.4540832991102,0.917549783780215,0.099311648741759,0.90943638239068,0.340026418959367,166.25,0.265576184380218,48.047471620227,0.0048,1.81411425207468
04213000,41.927,-80.60397,322.72,10.20101,455.3,3.2589363449692,2.30925004791239,0.708590105319843,0.162227338465539,1.63938528174227,0.50304305092457,145.3,0.37344347434575,23.3671562082777,0.9317,4.25168277632418
05488200,41.30055,-93.04548,282.37,6.56634,234.21,2.66347980835044,2.42888078028747,0.911920102668898,0.10182137585369,0.728126214226358,0.273374031950069,217.65,0.250112209056229,31.1853785900783,0.4427,2.07266022867746
06353000,46.09167,-101.33374,767.71,9.54494,4526.51,1.13522792607803,3.04309965776865,2.68060676438952,0.155792225582551,0.0425843500838611,0.0375117182247101,201.15,0.268675664268702,1.82468030690537,0.0001,1.24410580922567
06468170,47.55805,-98.86289,516.41,4.68375,2809.1,1.3077453798768,2.06557177275838,1.57949078203051,0.143378889321559,0.0766117888595943,0.0585831080258238,217.3,0.34175994925709,46.1121267519805,0.003,1.86435021741836
07068000,36.622,-90.84762,293.5,12.0651,5318.59,3.40409171800137,2.74704971937029,0.80698463700125,0.0555107614985227,1.33388212249114,0.391846704786877,180.6,0.718142160053899,2.15806945863126,0.7417,4.91412916942315
07148400,36.81503,-98.64814,545.41,9.72975,2544.5,1.90958247775496,3.20051247091034,1.6760273558192,0.0798781318326822,0.118952797211393,0.0622925684525774,203.9,0.536771083085089,12.8587645195354,0.0005,0.963708627961121
07167500,37.70821,-96.2236,383.36,10.91937,319.62,2.81646406570842,2.72132924024641,0.966221892684406,0.0520689190916616,0.83854665634758,0.29773028761745,213.65,0.212084141612947,1.217659137577,0.0167,2.15220110986121
07346045,32.77792,-94.35742,103.75,7.44495,959.89,3.58202464065708,3.14231921971253,0.877246678888312,0.0168897938562348,0.900645181973727,0.251434669586336,159.3,0.492232080265756,1.65303140978817,0.8518,3.81575919993679
08164600,28.89138,-96.81915,37.19,1.85956,253.92,3.10259000684463,3.77744906228611,1.21751473896089,0.0008978831137086,0.623875289484131,0.201082092093315,191.25,0.116282008085931,49.3378746594005,0.0573,1.5064877751827
08194200,27.96501,-98.96697,161.27,5.02405,1220.58,1.39721560574949,3.61926525667351,2.59034127716609,0.0005535601264272,0.0722988385329525,0.0517449406057631,287.75,0.0427754759916959,7.77239709443099,0.0008,1.0783347797166
10249300,38.88743,-117.24537,2256.43,98.85646,50.2,0.644565366187543,3.35684038329911,5.20791305178877,0.312694991026962,0.331078992317889,0.513646884684708,222.85,0.630473783471924,11.8349514563107,0.062,0.405882383884838
10258500,33.74502,-116.53557,1329.18,116.14195,241.51,0.822899383983573,3.14187419575633,3.81805389201634,0.0040873158462091,0.0470111154943727,0.0571286312875781,142.352941176471,0.298105910795495,1.02631578947368,0.2855,0.543802986776022
11143000,36.2458,-121.77329,764.03,138.61035,120.61,2.83676796714579,2.582940862423,0.910522429870012,0.0254379399486261,2.02225567636287,0.712873135830549,144.6,0.532805114830656,0.664804469273743,0.9458,3.2567347718764
11237500,37.19856,-119.21373,2201.22,104.67149,59.82,2.92850376454483,2.94218308008214,1.00467109371786,0.749856960685691,1.87841542353989,0.64142496461221,220.0,0.487675099492906,0.98,0.8069,1.57688118000328
11274500,37.31549,-121.12521,377.44,54.47513,347.75,1.2064462696783,2.7498298973306,2.27928086516761,0.0,0.127310759874269,0.105525428752179,144.473684210526,0.230284232058962,1.20448877805486,0.3051,1.27851850971171
11451100,39.16545,-122.61999,740.46,103.93357,155.09,2.96147159479808,2.59033155373032,0.874677156546198,0.123536359034925,1.81466406519742,0.612757545399028,135.35,0.396907333257249,0.906122448979592,0.8707,2.2141236488828
11468500,39.42822,-123.73779,276.08,45.14956,273.51,3.58288295687885,2.71716240930869,0.758373198904518,0.000524205133848,1.7820639330563,0.497382681629294,135.25,0.389544707921004,1.66666666666667,1.0,4.76305862680861
11523200,41.11126,-122.70558,1614.41,139.34749,382.94,2.93242299794661,2.56179555099247,0.873610510075229,0.431707151976883,2.6524173143999,0.904513883657718,190.75,0.587634313191209,0.658496732026144,0.98,2.02664255784056
12040500,47.53786,-124.31575,437.01,96.58146,1153.44,8.15461190965092,1.89909648186174,0.232886187951406,0.0670917839751389,9.68843810576967,1.18809309543026,117.1,0.515538191263736,2.58152173913043,0.9969,3.75000349855693
12048000,48.01426,-123.13268,1263.46,183.83774,405.01,4.7751266255989,2.51796607802875,0.527308755443305,0.498197653251076,2.33485956161167,0.488962857884177,187.75,0.679331034591701,0.801925722145805,0.9881,3.12567142570297
12092000,46.90372,-122.03511,1330.94,172.20201,240.88,7.27449555099247,2.07675957563313,0.285485029315853,0.513670726431351,5.41986016073975,0.74504962203191,195.55,0.694986625401127,0.916876574307305,0.9239,3.14801874214801
12095000,47.13955,-122.09261,757.39,103.55868,205.84,4.56074606433949,2.47970026009582,0.543704960792406,0.0782320939481484,2.65863567896673,0.582938765162704,144.95,0.604888472247746,3.17274939172749,0.9717,4.37782292989303
12147500,47.71232,-121.78873,601.12,112.82134,102.89,7.99334839151266,1.95754405201916,0.24489662606195,0.159041201436992,8.30180160951359,1.03858873689635,140.7,0.627931121484973,1.14583333333333,1.0,3.76946054454278
12175500,48.67263,-121.0729,1538.75,245.56131,273.82,5.46175222450376,2.18863189596167,0.400719733521145,0.690360443229126,5.71830244222982,1.04697214505174,251.2,0.671256030973509,0.483801295896328,0.7897,1.99266346050159
12358500,48.49524,-114.01012,1559.24,106.51262,2939.19,3.33040109514031,2.21818268309377,0.666040701923417,0.558849303987327,2.33870715445303,0.702229877916402,237.45,0.613435019115008,0.700782778864971,0.7376,2.46772009188513
12374250,47.82966,-114.69763,1379.76,104.39721,50.79,2.24356741957563,2.39513763175907,1.06755768106675,0.43980631218249,0.394046550633463,0.175633924434505,219.25,0.64285142287533,1.17171717171717,0.7973,2.87802118189041
12390700,47.58605,-115.35515,1415.22,115.21011,470.23,3.03506913073238,2.88721553730322,0.951284933864594,0.519487009712609,1.13119899676195,0.372709466584371,216.25,0.652728381742359,0.729040097205346,0.9955,3.31098417774674
12447390,48.82292,-120.14592,1700.98,172.58264,58.1,2.55907597535934,2.18839374401095,0.855149970177677,0.777311497508566,1.36554402331903,0.533608238468684,241.3,0.534019978280287,0.472727272727273,0.9643,1.19995288634616
13310700,44.98694,-115.725,1979.98,106.69118,853.13,3.04728131416838,2.74545106091718,0.900950971658628,0.659423756726634,1.40403490297863,0.460750012298028,231.25,0.621745886057291,0.715384615384615,0.9654,1.89139522226435
13313000,44.96167,-115.5,2155.6,111.17973,561.94,3.63047912388775,2.86112984257358,0.788086019761959,0.744536050209931,1.41373884040047,0.38940833762089,236.85,0.573368355518336,1.1468085106383,0.9807,1.71293556367413
13337000,46.15083,-115.58722,1548.18,120.82851,3053.42,3.58831759069131,2.32941932922656,0.649167547284404,0.56457032594174,2.1587714242307,0.601611025130805,226.1,0.615920898896594,0.62545594163947,0.9726,3.46497736572959
13338500,46.08639,-115.97667,1418.36,110.2649,3027.0,2.32584257357974,2.25571330595483,0.9698478012134,0.360817479170443,0.726261971982794,0.312257579353272,219.65,0.652413735708596,0.870519098922625,0.8078,3.27154259451552
14092750,44.75039,-121.6334,1597.68,155.84779,57.48,4.59137987679671,3.07148919917864,0.668968650296377,0.535953008986575,3.27113675279934,0.71245177715104,190.45,0.708062366238237,1.06194690265487,0.9807,2.93316803628849
14308990,42.82318,-123.12589,987.04,96.62676,167.76,3.65558384668036,3.06434930869268,0.838265359848173,0.135825515539971,1.25590274290098,0.343557361990608,141.2,0.551512997560318,0.889679715302491,1.0,4.60764550449176
14309500,42.804,-123.61091,709.83,110.42527,224.92,4.97778097193703,3.12220390143737,0.627228059860258,0.0612553691709827,2.45769981839278,0.493734021695294,125.55,0.459454969190781,0.894594594594595,1.0,4.22790223020142
14316700,43.34984,-122.72894,952.26,119.0892,587.9,4.54340041067762,2.2776297467488,0.501305088892464,0.176336580742005,2.92593688667056,0.643997143591881,135.5,0.508616082222394,0.879292403746098,1.0,4.85965245245316
14325000,42.8915,-124.07065,656.53,124.96889,443.07,6.29743737166324,2.43465173169062,0.38660991574857,0.0302033920558714,4.07228330027814,0.64665721307564,125.9,0.480768555174975,0.990318118948824,1.0,4.15073036379494
